id;title;title_short;redundant;preferred_version;hardware;aga;ntsc;pal_5x;v_offset;gamepad;lightgun;note;issues;hack;year;country;language;developer;publisher;players;slave_args;slave_version;slave_path;archive_path;category;subcategory;hol_id;lemon_id
demo--musicdiskinzzest--musicdiskinzzest;Inzzest Music Disk;Inzzest Music Disk;;;OCS;;0;;;;;;;;1991;Denmark;English;;Inzzest;1;;v1.0;MusicDiskInzzest/MusicDiskInzzest.Slave;demo/M/MusicDisk_v1.0_Inzzest.lha;Demo;Music Disk;;
demo--devilskey--devilskey;Megademo 4: Devil's Key;Alcatraz Megademo 4;;;OCS;;0;;;;;;;;1990;Switzerland, France;English;;Alcatraz;1;;v1.0;DevilsKey/DevilsKey.slave;demo/D/DevilsKey_v1.0_Alcatraz.lha;Demo;Demo;;
demo--musicmegademo2--musicmegademo2;Music Megademo 2;Music Megademo 2;;;OCS;;0;;;;;;;;1993;UK;English;;Ghostbusters;1;;v1.0;MusicMegaDemo2/MusicMegaDemo2.Slave;demo/M/MusicMegaDemo2_v1.0_Ghostbusters.lha;Demo;Music Disk;;
demo--musicdiskdexion--musicdiskdexion;Music Disk;Dexion Music Disk;;;OCS;;0;;;;;;;;1990;Denmark;English;;Dexion, The Silents, Warfalcons;1;;v1.0;MusicDiskDexion/MusicDiskDexion.Slave;demo/M/MusicDisk_v1.0_Dexion.lha;Demo;Music Disk;;
demo--multidemo--multidemo;Multi Demo;Amaze Multi Demo;;;OCS;;0;;;;;;;;1990;Finland;English;;Amaze;1;;v1.0;Multidemo/Multidemo.Slave;demo/M/Multidemo_v1.0_Amaze.lha;Demo;Demo;;
demo--muzzax6--muzzax6;Muzzax 6;Muzzax 6;;;OCS;;0;;;;;;;;1989;Finland, Sweden;English;;Byterapers;1;;v1.0;Muzzax6/Muzzax6.Slave;demo/M/Muzzax6_v1.0_Byterapers.lha;Demo;Music Disk;;
demo--musicdiskescape--musicdiskescape;Music Disk;Escape Music Disk;;;OCS;;0;;;;;;;;1989;Norway;English;;Escape;1;;v1.0;MusicDiskEscape/MusicDiskEscape.Slave;demo/M/MusicDisk_v1.0_Escape.lha;Demo;Music Disk;;
demo--musiccollectionexocet--musiccollectionexocet;Music Collection;Music Collection;;;OCS;;0;;;;;;;;1989;Finland;English;;Exocet;1;;v1.0;MusicCollectionExocet/MusicCollectionExocet.Slave;demo/M/MusicCollection_v1.0_Exocet.lha;Demo;Music Disk;;
demo--megademo3alcatraz--megademo3alcatraz;Megademo 3;Alcatraz Megademo 3;;;OCS;;0;;;;;;;;1989;France, Switzerland;English;;Alcatraz;1;;v1.02;Megademo3Alcatraz/Megademo3Alcatraz.slave;demo/M/Megademo3_v1.02_Alcatraz.lha;Demo;Demo;;
demo--megademoavenger--megademoavenger;Megademo;Avenger Megademo;;;OCS;;0;;;;;;;;1989;Switzerland;English;;Avenger;1;;v1.0;MegademoAvenger/MegademoAvenger.slave;demo/M/Megademo_v1.0_Avenger.lha;Demo;Demo;;
demo--megamix1--megamix1;Megamix 1;RAF Megamix 1;;;OCS;;0;;;;;;;;1990;Netherlands;English;;Royal Amiga Force;1;;v1.0;MegaMix1/MegaMix1.Slave;demo/M/MegaMix1_v1.0_RoyalAmigaForce.lha;Demo;Music Disk;;
demo--multica--multica;Multica;Multica;;;OCS;;0;;;;;;;;1992;Norway;English;;Andromeda;1;;v1.0;Multica/Multica.slave;demo/M/Multica_v1.0_Andromeda.lha;Demo;Demo;;
demo--materialized--materialized;Materialized;Materialized;;;OCS;;0;;;;;;;;1990;Norway;English;;Cryptoburners;1;;v1.0;Materialized/Materialized.Slave;demo/M/Materialized_v1.0_Cryptoburners.lha;Demo;Demo;;
demo--musabox--musabox;Musabox #2;Musabox #2;;;OCS;;0;;;;;;;;1991;Finland;English;;Falcons;1;;v1.0;Musabox/Musabox.Slave;demo/M/Musabox_v1.0_Falcons.lha;Demo;Music Disk;;
demo--musicdisk181sttrack--musicdisk181sttrack;Music Disk 1;The 81st Track Music Disk 1;;;OCS;;0;;;;;;;;1991;UK;English;;The 81st Track;1;;v1.01;MusicDisk181stTrack/MusicDisk181stTrack.Slave;demo/M/MusicDisk1_v1.01_81stTrack.lha;Demo;Music Disk;;
demo--megademoacme--megademoacme;Megademo;Acme Megademo;;;OCS;;0;;;;;;;;1990;Sweden;English;;Acme;1;;v1.0;MegademoAcme/MegademoAcme.Slave;demo/M/Megademo_v1.0_Acme.lha;Demo;Demo;;
demo--musicdiskthrust--musicdiskthrust;Music Pack 1;Music Pack 1;;;OCS;;0;;;;;;;;1988;Germany;English;;Thrust;1;;v1.0;MusicDiskThrust/MusicDiskThrust.Slave;demo/M/MusicDisk_v1.0_Thrust.lha;Demo;Music Disk;;
demo--musicdream1--musicdream1;Music Dream 1;Music Dream 1;;;OCS;;0;;;;;;;;1991;Sweden;English;;Phenomena;1;;v1.0;MusicDream1/MusicDream1.Slave;demo/M/MusicDream1_v1.0_Phenomena.lha;Demo;Music Disk;;
demo--miraclesounds1--miraclesounds1;Miracle Sounds;Miracle Sounds;;;OCS;;0;;;;;;;;1990;UK, Sweden;English;;Miracle;1;;v1.0;MiracleSounds1/MiracleSounds1.Slave;demo/M/MiracleSounds1_v1.0_Miracle.lha;Demo;Music Disk;;
demo--musicdisk2--musicdisk2;Music Disk 2;Fantasy Force Music Disk 2;;;OCS;;0;;;;;;;;1991;Finland;English;;Fantasy Force;1;;v1.0;MusicDisk2/MusicDisk2.Slave;demo/M/MusicDisk2_v1.0_FantasyForce.lha;Demo;Music Disk;;
demo--minordefects--minordefects;Minor Defects;Minor Defects;;;OCS;;0;;;;;;;;1992;Finland;English;;Grace;1;;v1.0;MinorDefects/MinorDefects.Slave;demo/M/MinorDefects_v1.0_Grace.lha;Demo;Music Disk;;
demo--musicmadness2--musicmadness2;Music Madness 2;Music Madness 2;;;OCS;;0;;;;;;;;1990;UK, Sweden;English;;Ipec Elite;1;;v1.0;MusicMadness2/MusicMadness2.Slave;demo/M/MusicMadness2_v1.0_IpecElite.lha;Demo;Music Disk;;
demo--megademobudbrain--megademobudbrain;Budbrain Megademo;Budbrain Megademo;;;OCS;;0;;;;;;;;1990;Denmark;English;;Budbrain;1;;v1.0;MegademoBudbrain/MegademoBudbrain.Slave;demo/M/Megademo_v1.0_Budbrain.lha;Demo;Demo;;
demo--mindriot--mindriot;Mindriot;Mindriot;;;OCS;;0;;;;;;;;1993;Norway;English;;Andromeda;1;;v1.0;MindRiot/MindRiot.Slave;demo/M/MindRiot_v1.0_Andromeda.lha;Demo;Demo;;
demo--megademobeastieboys--megademobeastieboys;Megademo;Beastie Boys Megademo;;;OCS;;0;;;;;;;;1988;Germany;English;;Beastie Boys;1;;v1.01;MegademoBeastieBoys/MegademoBeastieBoys.slave;demo/M/Megademo_v1.01_BeastieBoys.lha;Demo;Demo;;
demo--megademosos--megademosos;Megademo;SOS Megademo;;;OCS;;0;;;;;;;;1988;Sweden;English;;Software Of Sweden;1;;v1.01;MegademoSOS/MegademoSOS.slave;demo/M/Megademo_v1.01_SoftwareOfSweden.lha;Demo;Demo;;
demo--megademovortex42--megademovortex42;Megademo;Vortex 42 Megademo;;;OCS;;0;;;;;;;;1988;Sweden;English;;Vortex 42;1;;v1.0;MegademoVortex42/MegademoVortex42.Slave;demo/M/Megademo_v1.0_Vortex42.lha;Demo;Demo;;
demo--musicdisktardex--musicdisktardex;Music Disk;Tardex Music Disk;;;OCS;;0;;;;;;;;1989;Austria;English;;Tardex;1;;v1.0;MusicDiskTardex/MusicDiskTardex.Slave;demo/M/MusicDisk_v1.0_Tardex.lha;Demo;Music Disk;;
demo--musicdisk2vega--musicdisk2vega;Music Disk 2;Vega Music Disk 2;;;OCS;;0;;;;;;;;1991;Italy;English;;Vega;1;;v1.0;MusicDisk2Vega/MusicDisk2Vega.Slave;demo/M/MusicDisk2_v1.0_Vega.lha;Demo;Music Disk;;
demo--megademo2alcatraz--megademo2alcatraz;Megademo 2;Alcatraz Megademo 2;;;OCS;;0;;;;;;;;1988;Switzerland, France;English;;Alcatraz;1;;v1.03;Megademo2Alcatraz/Megademo2Alcatraz.slave;demo/M/Megademo2_v1.03_Alcatraz.lha;Demo;Demo;;
demo--megademo2disorder--megademo2disorder;Disorder Megademo 2;Disorder Megademo 2;;;OCS;;0;;;;;;;;1990;Denmark;English;;Disorder;1;;v1.0;Megademo2Disorder/Megademo2Disorder.Slave;demo/M/Megademo2_v1.0_Disorder.lha;Demo;Demo;;
demo--musicland--musicland;Musicland;Musicland;;;OCS;;0;;;;;;;;1993;Switzerland;English;;Brainstorm;1;;v1.01;Musicland/Musicland.slave;demo/M/Musicland_v1.01_Brainstorm.lha;Demo;Music Disk;;
demo--masterpieces--masterpieces;Masterpieces;Masterpieces;;;OCS;;0;;;;;;;;1992;Denmark;English;;Kefrens;1;;v1.2;Masterpieces/Masterpieces.Slave;demo/M/Masterpieces_v1.2_Kefrens.lha;Demo;Slide Show;;
demo--makaveliaga--makaveliaga;Makaveli;Makaveli;;;AGA;1;0;;;;;;;;1996;Germany;English;;Essence;1;;v1.1;MakaveliAGA/MakaveliAGA.Slave;demo/M/Makaveli_v1.1_Essence_AGA.lha;Demo;Demo;;
demo--muzzax2--muzzax2;Muzzax 2;Muzzax 2;;;OCS;;0;;;;;;;;1989;Finland, Sweden;English;;Byterapers;1;;v1.01;Muzzax2/Muzzax2.slave;demo/M/Muzzax2_v1.01_Byterapers.lha;Demo;Music Disk;;
demo--musicdisk1mahoney&kaktus--musicdisk1mahoney&kaktus;Music Disk 1;Mahoney & Kaktus Music Disk 1;;;OCS;;0;;;;;;;;1988;Sweden;English;;Mahoney & Kaktus;1;;v1.0;MusicDisk1Mahoney&Kaktus/MusicDisk1Mahoney&Kaktus.Slave;demo/M/MusicDisk1_v1.0_Mahoney&Kaktus.lha;Demo;Music Disk;;
demo--megademopossessed--megademopossessed;Megademo;Possessed Megademo;;;OCS;;0;;;;;;;;1990;Germany;English;;Possessed;1;;v1.0;MegademoPossessed/MegademoPossessed.Slave;demo/M/Megademo_v1.0_Possessed.lha;Demo;Demo;;
demo--musicselector--musicselector;Music Selector;Deadlock Music Selector;;;OCS;;0;;;;;;;;1990;Denmark;English;;Deadlock;1;;v1.0;MusicSelector/MusicSelector.Slave;demo/M/MusicSelector_v1.0_Deadlock.lha;Demo;Demo;;
demo--megademopredators--megademopredators;Megademo;Predators Megademo;;;OCS;;0;;;;;;;;1989;Australia;English;;Predators;1;;v1.0;MegademoPredators/MegademoPredators.Slave;demo/M/Megademo_v1.0_Predators.lha;Demo;Demo;;
demo--multimegamix2--multimegamix2;Multi Megamix 2;Kefrens Multi Megamix 2;;;OCS;;0;;;;;;;;1992;Denmark;English;;Kefrens;1;;v1.1;MultiMegamix2/MultiMegamix2.slave;demo/M/MultiMegamix2_v1.1_Kefrens.lha;Demo;Music Disk;;
demo--megademointuition--megademointuition;Megademo;Intuition Megademo;;;OCS;;0;;;;;;;;1990;UK;English;;Intuition;1;;v1.0;MegademoIntuition/MegademoIntuition.Slave;demo/M/Megademo_v1.0_Intuition.lha;Demo;Demo;;
demo--moinjungs--moinjungs;Moin Jungs;Moin Jungs;;;OCS;;0;;;;;;;;1988;Germany;English;;Doctor Mabuse Orgasm Crackings;1;;v1.0;MoinJungs/MoinJungs.Slave;demo/M/MoinJungs_v1.0_DoctorMabuseOrgasmCrackings.lha;Demo;Demo;;
demo--mrmonkeyaga--mrmonkeyaga;Mr. Monkey;Mr. Monkey;;;AGA;1;0;;;;;;;;1994;Denmark;English;;Rebels;1;;v1.0;MrMonkeyAGA/MrMonkeyAGA.Slave;demo/M/MrMonkey_v1.0_Rebels_AGA.lha;Demo;Demo;;
demo--musicdisk1iks--musicdisk1iks;Music Disk #1;IKS Music Disk 1;;;OCS;;0;;;;;;;;1989;Belgium;English;;IKS;1;;v1.0;MusicDisk1IKS/MusicDisk1IKS.Slave;demo/M/MusicDisk1_v1.0_IKS.lha;Demo;Music Disk;;
demo--morbidvisions3--morbidvisions3;Morbid Visions 3;Morbid Visions 3;;;OCS;;0;;;;;;;;1994;Finland;English;;CNCD, Complex;1;;v1.0;MorbidVisions3/MorbidVisions3.Slave;demo/M/MorbidVisions3_v1.0_Carillon&Cyberiad&Complex.lha;Demo;Slide Show;;
demo--motionaga--motionaga;Motion;Motion;;;AGA;1;0;;;;;;Crashes (used to work fine);;1994;France;English;;Bomb;1;;v1.1;MotionAGA/MotionAGA.slave;demo/M/Motion_v1.1_Bomb_AGA.lha;Demo;Demo;;
demo--megademo7kefrens--megademo7kefrens;Megademo 7;Kefrens Megademo 7;;;OCS;;0;;;;;;;;1989;Denmark;English;;Kefrens;1;;v1.0;Megademo7Kefrens/Megademo7Kefrens.Slave;demo/M/Megademo7_v1.0_Kefrens.lha;Demo;Demo;;
demo--muzzax7--muzzax7;Muzzax 7;Muzzax 7;;;OCS;;0;;;;;;;;1990;Finland, Sweden;English;;Byterapers;1;;v1.0;Muzzax7/Muzzax7.Slave;demo/M/Muzzax7_v1.0_Byterapers.lha;Demo;Music Disk;;
demo--madness--madness;Madness;Madness;;;OCS;;0;;;;;;;;1990;UK;English;;Anarchy;1;;v1.0;Madness/Madness.Slave;demo/M/Madness_v1.0_Anarchy.lha;Demo;Demo;;
demo--musicdiskipecelite--musicdiskipecelite;Music Disk;Ipec Elite Music Disk;;;OCS;;0;;;;;;;;1989;Sweden;English;;Ipec Elite;1;;v1.0;MusicDiskIpecElite/MusicDiskIpecElite.Slave;demo/M/MusicDisk_v1.0_IpecElite.lha;Demo;Music Disk;;
demo--maestrojamsvol1--maestrojamsvol1;Maestro Jams Vol. 1;Maestro Jams Vol. 1;;;OCS;;0;;;;;;;;1990;Denmark;English;;Kefrens;1;;v1.0;MaestroJamsVol1/MaestroJamsVol1.Slave;demo/M/MaestroJamsVol1_v1.0_Kefrens.lha;Demo;Music Disk;;
demo--megablast--megablast;Megablast;Megablast;;;OCS;;0;;;;;;;;1990;Denmark;English;;Rebels;1;;v1.0;Megablast/Megablast.Slave;demo/M/Megablast_v1.0_Rebels.lha;Demo;Music Disk;;
demo--musicdisk2darkness--musicdisk2darkness;Music Disk 2;Darkness Music Disk 2;;;OCS;;0;;;;;;;;1992;Spain;English;;Darkness;1;;v1.0;MusicDisk2Darkness/MusicDisk2Darkness.Slave;demo/M/MusicDisk2_v1.0_Darkness.lha;Demo;Music Disk;;
demo--musicboxexodus--musicboxexodus;Exodus Musicbox;Exodus Musicbox;;;OCS;;0;;;;;;;;1990;Finland;English;;Exodus;1;;v1.0;MusicBoxExodus/MusicBoxExodus.Slave;demo/M/MusicBox_v1.0_Exodus.lha;Demo;Music Disk;;
demo--megademogoldfire--megademogoldfire;Megademo;Goldfire Megademo;;;OCS;;0;;;;;;;;1990;UK;English;;Goldfire;1;;v1.0;MegademoGoldfire/MegademoGoldfire.Slave;demo/M/Megademo_v1.0_Goldfire.lha;Demo;Demo;;
demo--musicdiskaspect&orix--musicdiskaspect&orix;Little Joe & Newtron Musicdisk;Little Joe & Newtron Musicdisk;;;OCS;;0;;;;;;;;1991;Germany;English;;Orix, Aspect;1;;v1.0;MusicDiskAspect&Orix/MusicDiskAspect&Orix.Slave;demo/M/MusicDisk_v1.0_Aspect&Orix.lha;Demo;Music Disk;;
demo--megademo2bass--megademo2bass;Megademo 2;Bass Megademo 2;;;OCS;;0;;;;;;;;1991;France;English;;Bass;1;;v1.01;Megademo2Bass/Megademo2Bass.slave;demo/M/Megademo2_v1.01_Bass.lha;Demo;Demo;;
demo--mesmerized--mesmerized;Mesmerized;Mesmerized;;;OCS;;0;;;;;;;;1991;Norway;English;;Pure Metal Coders;1;;v1.1;Mesmerized/Mesmerized.Slave;demo/M/Mesmerized_v1.1_PureMetalCoders.lha;Demo;Demo;;
demo--minisoundbox1--minisoundbox1;Mini Soundbox I;Mini Soundbox I;;;OCS;;0;;;;;;;;1989;Germany;English;;Shadow Light, Level 4;1;;v1.0;MiniSoundbox1/MiniSoundbox1.Slave;demo/M/MiniSoundbox1_v1.0_ShadowLight&LevelFour.lha;Demo;Music Disk;;
demo--megademomadmonks--megademomadmonks;Megademo;Mad Monks Megademo;;;OCS;;0;;;;;;;;1989;USA, Germany;English;;Mad Monks;1;;v1.0;MegademoMadMonks/MegademoMadMonks.Slave;demo/M/Megademo_v1.0_MadMonks.lha;Demo;Demo;;
demo--muzakcompacting1--muzakcompacting1;Muzak Compacting 1;Muzak Compacting 1;;;OCS;;0;;;;;;;;1989;Germany;English;;Alpha Flight, Mindwarp;1;;v1.0;MuzakCompacting1/MuzakCompacting1.Slave;demo/M/MuzakCompacting1_v1.0_Mindwarp.lha;Demo;Music Disk;;
demo--musicrip2--musicrip2;Silicon League Music Rip 2;Silicon League Music Rip 2;;;OCS;;0;;;;;;;;1989;Germany;English;;Silicon League;1;;v1.0;MusicRip2/MusicRip2.Slave;demo/M/MusicRip2_v1.0_SiliconLeague.lha;Demo;Music Disk;;
demo--megademohumanoids--megademohumanoids;Megademo;Humanoids Megademo;;;OCS;;0;;;;;;;;1990;Denmark;English;;Humanoids;1;;v1.0;MegademoHumanoids/MegademoHumanoids.Slave;demo/M/Megademo_v1.0_Humanoids.lha;Demo;Demo;;
demo--musicdisk1prologic--musicdisk1prologic;Music Disk 1;Prologic Music Disk 1;;;OCS;;0;;;;;;;;1991;Denmark;English;;Prologic;1;;v1.0;MusicDisk1Prologic/MusicDisk1Prologic.Slave;demo/M/MusicDisk1_v1.0_Prologic.lha;Demo;Music Disk;;
demo--megademodarkness--megademodarkness;Megademo;Darkness Megademo;;;OCS;;0;;;;;;;;1990;Spain;English;;Darkness;1;;v1.01;MegademoDarkness/MegademoDarkness.slave;demo/M/Megademo_v1.01_Darkness.lha;Demo;Demo;;
demo--musicdiskactionforce--musicdiskactionforce;Music Disk;Action Force Music Disk;;;OCS;;0;;;;;;;;1989;Norway;English;;Action Force;1;;v1.01;MusicDiskActionForce/MusicDiskActionForce.slave;demo/M/MusicDisk_v1.01_ActionForce.lha;Demo;Music Disk;;
demo--musicdisk2elite--musicdisk2elite;Music Disk 2;Music Disk 2;;;OCS;;0;;;;;;;;1990;Sweden;English;;Elite Inc.;1;;v1.0;MusicDisk2Elite/MusicDisk2Elite.Slave;demo/M/MusicDisk2_v1.0_Elite.lha;Demo;Music Disk;;
demo--musicalsecrets--musicalsecrets;Musical Secrets;Musical Secrets;;;OCS;;0;;;;;;;;1992;Netherlands;English;;Zite;1;;v1.0;MusicalSecrets/MusicalSecrets.Slave;demo/M/MusicalSecrets_v1.0_Zite.lha;Demo;Music Disk;;
demo--prime90--prime90;Megademo;Mirage Megademo;;;OCS;;0;;;;;;;;1990;Netherlands;English;;Mirage;1;;v1.0;Prime90/Prime90.Slave;demo/P/Prime90_v1.0_Mirage.lha;Demo;Demo;;
demo--musicboxcopyride--musicboxcopyride;Music Box;Music Box;;;OCS;;0;;;;;;;;1991;Denmark;English;;Copyride;1;;v1.0;MusicBoxCopyride/MusicBoxCopyride.Slave;demo/M/MusicBox_v1.0_Copyride.lha;Demo;Music Disk;;
demo--museum--museum;Museum;Museum;;;OCS;;0;;;;;;;;1992;Austria, Norway, France, Switzerland;English;;Alcatraz;1;;v1.1;Museum/Museum.Slave;demo/M/Museum_v1.1_Alcatraz.lha;Demo;Slide Show;;
demo--musicwithamessage--musicwithamessage;Music With A Message;Music With A Message;;;OCS;;0;;;;;;;;1990;UK;English;;Magnetic Fields;1;;v1.0;MusicWithAMessage/MusicWithAMessage.Slave;demo/M/MusicWithAMessage_v1.0_MagneticFields.lha;Demo;Demo;;
demo--musicparty1990--musicparty1990;Music Party 1990;Music Party 1990;;;OCS;;0;;;;;;;;1990;Norway;English;;Cryptoburners;1;;v1.01;MusicParty1990/MusicParty1990.slave;demo/M/MusicParty1990_v1.01_Cryptoburners.lha;Demo;Music Disk;;
demo--microconcept--microconcept;Mi-Cro Con-Cept;Mi-Cro Con-Cept;;;OCS;;0;;;;;;;;1990;Norway, Finland, Sweden;English;;Crusaders;1;;v1.1;MicroConcept/MicroConcept.slave;demo/M/MicroConcept_v1.1_Crusaders.lha;Demo;Music Disk;;
demo--megademoroyalamigaforce--megademoroyalamigaforce;Megademo;RAF Megademo;;;OCS;;0;;;;;;;;1989;Netherlands;English;;Royal Amiga Force;1;;v1.01;MegademoRoyalAmigaForce/MegademoRoyalAmigaForce.slave;demo/M/Megademo_v1.01_RoyalAmigaForce.lha;Demo;Demo;;
demo--megademo2vortex42--megademo2vortex42;Megademo 2;Vortex 42 Megademo 2;;;OCS;;0;;;;;;;;1988;Sweden;English;;Vortex 42;1;;v1.0;Megademo2Vortex42/Megademo2Vortex42.Slave;demo/M/Megademo2_v1.0_Vortex42.lha;Demo;Demo;;
demo--minimegademodoom--minimegademodoom;Mini Megademo;Doom Mini Megademo;;;OCS;;0;;;;;;;;1992;UK;English;;Doom;1;;v1.0;MiniMegademoDoom/MiniMegademoDoom.Slave;demo/M/MiniMegademo_v1.0_Doom.lha;Demo;Demo;;
demo--magnumicetro--magnumicetro;Magnum Icetro;Magnum Icetro;;;OCS;;0;;;;;;;;1994;Sweden;English;;Depth;1;;v1.0;MagnumIcetro/MagnumIcetro.Slave;demo/M/MagnumIcetro_v1.0_Depth.lha;Demo;Music Disk;;
demo--megademo2scoopex--megademo2scoopex;Megademo 2;Scoopex Megademo 2;;;OCS;;0;;;;;;;;1990;Germany, Sweden, Austria;English;;Scoopex;1;;v1.0;Megademo2Scoopex/Megademo2Scoopex.Slave;demo/M/Megademo2_v1.0_Scoopex.lha;Demo;Demo;;
demo--musicdisk281sttrack--musicdisk281sttrack;Music Disk 2;The 81st Track Music Disk 2;;;OCS;;0;;;;;;;;1992;UK;English;;The 81st Track;1;;v1.0;MusicDisk281stTrack/MusicDisk281stTrack.Slave;demo/M/MusicDisk2_v1.0_81stTrack.lha;Demo;Music Disk;;
demo--musiccompilation--musiccompilation;Music Compilation;Random Access Music Compilation;;;OCS;;0;;;;;;;;1989;Netherlands;English;;Random Access;1;;v1.0;MusicCompilation/MusicCompilation.Slave;demo/M/MusicCompilation_v1.0_RandomAccess.lha;Demo;Music Disk;;
demo--muzzax3--muzzax3;Muzzax 3;Muzzax 3;;;OCS;;0;;;;;;;;1989;Finland, Sweden;English;;Byterapers;1;;v1.0;Muzzax3/Muzzax3.Slave;demo/M/Muzzax3_v1.0_Byterapers.lha;Demo;Music Disk;;
demo--miserydentro2--miserydentro2;Misery Dentro 2;Misery Dentro 2;;;OCS;;0;;;;;;;;1993;Germany;English;;Masque, TRSI;1;;v1.0;MiseryDentro2/MiseryDentro2.Slave;demo/M/MiseryDentro2_v1.0_Tristar&RedSectorInc.lha;Demo;Demo;;
demo--maximumvelocity--maximumvelocity;Maximum Velocity;Maximum Velocity;;;OCS;;0;;;;;;;;1992;Finland;English;;The Silents;1;;v1.0;MaximumVelocity/MaximumVelocity.Slave;demo/M/MaximumVelocity_v1.0_Silents.lha;Demo;Demo;;
demo--megademodigitech&ibb--megademodigitech&ibb;Megademo;Digitech Megademo;;;OCS;;0;;;;;;;;1989;Sweden;English;;Digitech;1;;v1.0;MegademoDigitech&IBB/MegademoDigitech&IBB.Slave;demo/M/Megademo_v1.0_Digitech&ItalianBadBoys.lha;Demo;Demo;;
